01072003;220;A;USD;2,8435;2,8443;1,0000;1,0000
02072003;220;A;USD;2,8211;2,8219;1,0000;1,0000
03072003;220;A;USD;2,8324;2,8332;1,0000;1,0000
04072003;220;A;USD;2,8291;2,8299;1,0000;1,0000
07072003;220;A;USD;2,8668;2,8676;1,0000;1,0000
08072003;220;A;USD;2,8815;2,8823;1,0000;1,0000
09072003;220;A;USD;2,8663;2,8671;1,0000;1,0000
10072003;220;A;USD;2,8914;2,8922;1,0000;1,0000
11072003;220;A;USD;2,9021;2,9029;1,0000;1,0000
14072003;220;A;USD;2,8745;2,8753;1,0000;1,0000
15072003;220;A;USD;2,8546;2,8554;1,0000;1,0000
16072003;220;A;USD;2,8669;2,8677;1,0000;1,0000
17072003;220;A;USD;2,8555;2,8563;1,0000;1,0000
18072003;220;A;USD;2,8766;2,8774;1,0000;1,0000
21072003;220;A;USD;2,8820;2,8828;1,0000;1,0000
22072003;220;A;USD;2,8818;2,8826;1,0000;1,0000
23072003;220;A;USD;2,8870;2,8878;1,0000;1,0000
24072003;220;A;USD;2,8953;2,8961;1,0000;1,0000
25072003;220;A;USD;2,8877;2,8885;1,0000;1,0000
28072003;220;A;USD;2,8957;2,8965;1,0000;1,0000
29072003;220;A;USD;2,9147;2,9155;1,0000;1,0000
30072003;220;A;USD;2,9465;2,9473;1,0000;1,0000
31072003;220;A;USD;2,9647;2,9655;1,0000;1,0000
01082003;220;A;USD;2,9998;3,0006;1,0000;1,0000
04082003;220;A;USD;3,0732;3,0740;1,0000;1,0000
05082003;220;A;USD;3,0358;3,0366;1,0000;1,0000
06082003;220;A;USD;3,0382;3,0390;1,0000;1,0000
07082003;220;A;USD;3,0061;3,0069;1,0000;1,0000
08082003;220;A;USD;2,9884;2,9892;1,0000;1,0000
11082003;220;A;USD;2,9937;2,9945;1,0000;1,0000
12082003;220;A;USD;3,0229;3,0237;1,0000;1,0000
13082003;220;A;USD;3,0301;3,0309;1,0000;1,0000
14082003;220;A;USD;3,0132;3,0140;1,0000;1,0000
15082003;220;A;USD;2,9922;2,9930;1,0000;1,0000
18082003;220;A;USD;2,9840;2,9848;1,0000;1,0000
19082003;220;A;USD;2,9965;2,9973;1,0000;1,0000
20082003;220;A;USD;3,0002;3,0010;1,0000;1,0000
21082003;220;A;USD;3,0024;3,0032;1,0000;1,0000
22082003;220;A;USD;2,9918;2,9926;1,0000;1,0000
25082003;220;A;USD;2,9887;2,9895;1,0000;1,0000
26082003;220;A;USD;2,9888;2,9896;1,0000;1,0000
27082003;220;A;USD;2,9726;2,9734;1,0000;1,0000
28082003;220;A;USD;2,9523;2,9531;1,0000;1,0000
29082003;220;A;USD;2,9657;2,9665;1,0000;1,0000
01092003;220;A;USD;2,9832;2,9840;1,0000;1,0000
02092003;220;A;USD;2,9781;2,9789;1,0000;1,0000
03092003;220;A;USD;2,9560;2,9568;1,0000;1,0000
04092003;220;A;USD;2,9410;2,9418;1,0000;1,0000
05092003;220;A;USD;2,9208;2,9216;1,0000;1,0000
08092003;220;A;USD;2,9147;2,9155;1,0000;1,0000
09092003;220;A;USD;2,9298;2,9306;1,0000;1,0000
10092003;220;A;USD;2,9117;2,9125;1,0000;1,0000
11092003;220;A;USD;2,8983;2,8991;1,0000;1,0000
12092003;220;A;USD;2,8951;2,8959;1,0000;1,0000
15092003;220;A;USD;2,8890;2,8898;1,0000;1,0000
16092003;220;A;USD;2,8959;2,8967;1,0000;1,0000
17092003;220;A;USD;2,9049;2,9057;1,0000;1,0000
18092003;220;A;USD;2,8967;2,8975;1,0000;1,0000
19092003;220;A;USD;2,9057;2,9065;1,0000;1,0000
22092003;220;A;USD;2,9013;2,9021;1,0000;1,0000
23092003;220;A;USD;2,9137;2,9145;1,0000;1,0000
24092003;220;A;USD;2,9236;2,9244;1,0000;1,0000
25092003;220;A;USD;2,9298;2,9306;1,0000;1,0000
